Stage,Date & Time (US EDT/UTC-4),Date EDT,Time EDT,Date & Time (Vietnam),Date VN,Time VN,Team 1,Team 2,Match #,Location,Ours?
Group A,"Thursday, June 11, at 3:00 PM",June 11,15:00,"Friday, 12 June 2026 at 02:00:00",June 12,2:00,Mexico,South Africa,1,"Estadio Azteca, Mexico City",Y
Group A,"Thursday, June 11, at 10:00 PM",June 11,22:00,"Friday, 12 June 2026 at 09:00:00",June 12,9:00,South Korea,Czechia,2,"Estadio Akron, Zapopan",Y
Group D,"Friday, June 12, at 9:00 PM",June 12,21:00,"Saturday, 13 June 2026 at 08:00:00",June 13,8:00,United States,Paraguay,4,"SoFi Stadium, Inglewood",Y
Group D,"Saturday, June 13, at 11:59 PM",June 13,23:59,"Sunday, 14 June 2026 at 10:59:00",June 14,10:59,Australia,Türkiye,6,"BC Place, Vancouver",Y
Group G,"Monday, June 15, at 3:00 PM",June 15,15:00,"Tuesday, 16 June 2026 at 02:00:00",June 16,2:00,Belgium,Egypt,16,"Lumen Field, Seattle",Y
Group G,"Monday, June 15, at 9:00 PM",June 15,21:00,"Tuesday, 16 June 2026 at 08:00:00",June 16,8:00,Iran,New Zealand,15,"SoFi Stadium, Inglewood",Y
Group J,"Tuesday, June 16, at 9:00 PM",June 16,21:00,"Wednesday, 17 June 2026 at 08:00:00",June 17,8:00,Argentina,Algeria,19,"Arrowhead Stadium, Kansas City",Y
Group J,"Tuesday, June 16, at 11:59 PM",June 16,23:59,"Wednesday, 17 June 2026 at 10:59:00",June 17,10:59,Austria,Jordan,20,"Levi's Stadium, Santa Clara",Y
Group B,"Thursday, June 18, at 3:00 PM",June 18,15:00,"Friday, 19 June 2026 at 02:00:00",June 19,2:00,Switzerland,Bosnia and Herzegovina,26,"SoFi Stadium, Inglewood",Y
Group B,"Thursday, June 18, at 6:00 PM",June 18,18:00,"Friday, 19 June 2026 at 05:00:00",June 19,5:00,Canada,Qatar,27,"BC Place, Vancouver",Y
Group E,"Saturday, June 20, at 4:00 PM",June 20,16:00,"Sunday, 21 June 2026 at 03:00:00",June 21,3:00,Germany,Ivory Coast,33,"BMO Field, Toronto",Y
Group E,"Saturday, June 20, at 8:00 PM",June 20,20:00,"Sunday, 21 June 2026 at 07:00:00",June 21,7:00,Ecuador,Curacao,34,"Arrowhead Stadium, Kansas City",Y
Group H,"Sunday, June 21, at 12:00 PM",June 21,12:00,"Sunday, 21 June 2026 at 23:00:00",June 21,23:00,Spain,Saudi Arabia,38,"Mercedes-Benz Stadium, Atlanta",Y
Group H,"Sunday, June 21, at 6:00 PM",June 21,18:00,"Monday, 22 June 2026 at 05:00:00",June 22,5:00,Uruguay,Cape Verde,37,"Hard Rock Stadium, Miami Gardens",Y
Group K,"Tuesday, June 23, at 1:00 PM",June 23,13:00,"Wednesday, 24 June 2026 at 00:00:00",June 24,0:00,Portugal,Uzbekistan,47,"NRG Stadium, Houston",Y
Group K,"Tuesday, June 23, at 10:00 PM",June 23,22:00,"Wednesday, 24 June 2026 at 09:00:00",June 24,9:00,Colombia,DR Congo,48,"Estadio Akron, Zapopan",Y
