Stage,Date & Time (US EDT/UTC-4),Date,Eastern Daylight Time,Date & Time (Vietnam),Column 1,Column 2,Team 1,Team 2,Match #,Location,Ours?,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Group A,"Thursday, June 11, at 3:00 PM",June 11,15:00,"Friday, 12 June 2026 at 02:00:00",June 12,2:00,Mexico,South Africa,1,"Estadio Azteca, Mexico City",Y,,,,,,,,,,,,,,,,,,
Group A,"Thursday, June 11, at 10:00 PM",June 11,22:00,"Friday, 12 June 2026 at 09:00:00",June 12,9:00,South Korea,Czechia,2,"Estadio Akron, Zapopan",Y,,,,,,,,,,,,,,,,,,
Group B,"Friday, June 12, at 3:00 PM",June 12,15:00,"Saturday, 13 June 2026 at 02:00:00",June 13,2:00,Canada,Bosnia and Herzegovina,3,"BMO Field, Toronto",,,,,,,,,,,,,,,,,,,
Group D,"Friday, June 12, at 9:00 PM",June 12,21:00,"Saturday, 13 June 2026 at 08:00:00",June 13,8:00,United States,Paraguay,4,"SoFi Stadium, Inglewood",Y,,,,,,,,,,,,,,,,,,
Group B,"Saturday, June 13, at 3:00 PM",June 13,15:00,"Sunday, 14 June 2026 at 02:00:00",June 14,2:00,Qatar,Switzerland,8,"Levi's Stadium, Santa Clara",,,,,,,,,,,,,,,,,,,
Group C,"Saturday, June 13, at 6:00 PM",June 13,18:00,"Sunday, 14 June 2026 at 05:00:00",June 14,5:00,Brazil,Morocco,7,"MetLife Stadium, East Rutherford",,,,,,,,,,,,,,,,,,,
Group C,"Saturday, June 13, at 9:00 PM",June 13,21:00,"Sunday, 14 June 2026 at 08:00:00",June 14,8:00,Haiti,Scotland,5,"Gillette Stadium, Foxborough",,,,,,,,,,,,,,,,,,,
Group D,"Saturday, June 13, at 11:59 PM",June 13,23:59,"Sunday, 14 June 2026 at 10:59:00",June 14,10:59,Australia,Türkiye,6,"BC Place, Vancouver",Y,,,,,,,,,,,,,,,,,,
Group E,"Sunday, June 14, at 1:00 PM",June 14,13:00,"Monday, 15 June 2026 at 00:00:00",June 15,0:00,Germany,Curacao,10,"NRG Stadium, Houston",,,,,,,,,,,,,,,,,,,
Group F,"Sunday, June 14, at 4:00 PM",June 14,16:00,"Monday, 15 June 2026 at 03:00:00",June 15,3:00,Netherlands,Japan,11,"AT&T Stadium, Arlington",,,,,,,,,,,,,,,,,,,
Group E,"Sunday, June 14, at 7:00 PM",June 14,19:00,"Monday, 15 June 2026 at 06:00:00",June 15,6:00,Ivory Coast,Ecuador,9,"Lincoln Financial Field, Philadelphia",,,,,,,,,,,,,,,,,,,
Group F,"Sunday, June 14, at 10:00 PM",June 14,22:00,"Monday, 15 June 2026 at 09:00:00",June 15,9:00,sweden,Tunisia,12,"Estadio BBVA, Guadalupe",,,,,,,,,,,,,,,,,,,
Group H,"Monday, June 15, at 12:00 PM",June 15,12:00,"Monday, 15 June 2026 at 23:00:00",June 15,23:00,Spain,Cape Verde,14,"Mercedes-Benz Stadium, Atlanta",,,,,,,,,,,,,,,,,,,
